Record Length,2500,Points,-6.04E-04,2.00E-01,,Record Length,2500,Points,-6.04E-04,-4.00E-02
Sample Interval,4.00E-07,s,-6.04E-04,2.00E-01,,Sample Interval,4.00E-07,s,-6.04E-04,0
Trigger Point,1.51E+03,Samples,-6.03E-04,0,,Trigger Point,1.51E+03,Samples,-6.03E-04,4.00E-02
,,,-6.03E-04,0,,,,,-6.03E-04,0
,,,-6.02E-04,-2.00E-01,,,,,-6.02E-04,4.00E-02
,,,-6.02E-04,2.00E-01,,,,,-6.02E-04,0
Source,CH1,,-6.02E-04,0,,Source,CH2,,-6.02E-04,0
Vertical Units,Volts,,-6.01E-04,2.00E-01,,Vertical Units,Volts,,-6.01E-04,-4.00E-02
Vertical Scale,5.00000007,,-6.01E-04,2.00E-01,,Vertical Scale,1.00E+00,,-6.01E-04,0
Vertical Offset,0,,-6.00E-04,2.00E-01,,Vertical Offset,0,,-6.00E-04,0
Horizontal Units,s,,-6.00E-04,-2.00E-01,,Horizontal Units,s,,-6.00E-04,-4.00E-02
Horizontal Scale,1.00E-04,,-6.00E-04,2.00E-01,,Horizontal Scale,1.00E-04,,-6.00E-04,-4.00E-02
Pt Fmt,Y,,-5.99E-04,0,,Pt Fmt,Y,,-5.99E-04,8.00E-02
Yzero,1.60E-01,,-5.99E-04,0,,Yzero,-1.56,,-5.99E-04,0
Probe Atten,1,,-5.98E-04,2.00E-01,,Probe Atten,1,,-5.98E-04,0
,,,-5.98E-04,0,,,,,-5.98E-04,-4.00E-02
Note,TDS 1002B - 2:36:24 PM   2/19/2025,,-5.98E-04,0,,Note,TDS 1002B - 2:36:24 PM   2/19/2025,,-5.98E-04,4.00E-02
,,,-5.97E-04,-2.00E-01,,,,,-5.97E-04,0
,,,-5.97E-04,-2.00E-01,,,,,-5.97E-04,-4.00E-02
,,,-5.96E-04,0,,,,,-5.96E-04,0
,,,-5.96E-04,0,,,,,-5.96E-04,0
,,,-5.96E-04,0,,,,,-5.96E-04,-4.00E-02
,,,-5.95E-04,-2.00E-01,,,,,-5.95E-04,0
,,,-5.95E-04,0,,,,,-5.95E-04,0
,,,-5.94E-04,4.00E-01,,,,,-5.94E-04,4.00E-02
,,,-5.94E-04,-2.00E-01,,,,,-5.94E-04,0
,,,-5.94E-04,0,,,,,-5.94E-04,0
,,,-5.93E-04,0,,,,,-5.93E-04,-4.00E-02
,,,-5.93E-04,0,,,,,-5.93E-04,-4.00E-02
,,,-5.92E-04,0,,,,,-5.92E-04,0
,,,-5.92E-04,-2.00E-01,,,,,-5.92E-04,0
,,,-5.92E-04,-2.00E-01,,,,,-5.92E-04,0
,,,-5.91E-04,0,,,,,-5.91E-04,-4.00E-02
,,,-5.91E-04,-2.00E-01,,,,,-5.91E-04,0
,,,-5.90E-04,4.00E-01,,,,,-5.90E-04,0
,,,-5.90E-04,-2.00E-01,,,,,-5.90E-04,0
,,,-5.90E-04,0,,,,,-5.90E-04,0
,,,-5.89E-04,-2.00E-01,,,,,-5.89E-04,-4.00E-02
,,,-5.89E-04,0,,,,,-5.89E-04,0
,,,-5.88E-04,2.00E-01,,,,,-5.88E-04,0
,,,-5.88E-04,0,,,,,-5.88E-04,4.00E-02
,,,-5.88E-04,-2.00E-01,,,,,-5.88E-04,-4.00E-02
,,,-5.87E-04,0,,,,,-5.87E-04,0
,,,-5.87E-04,0,,,,,-5.87E-04,-4.00E-02
,,,-5.86E-04,-2.00E-01,,,,,-5.86E-04,0
,,,-5.86E-04,2.00E-01,,,,,-5.86E-04,0
,,,-5.86E-04,-2.00E-01,,,,,-5.86E-04,-8.00E-02
,,,-5.85E-04,2.00E-01,,,,,-5.85E-04,-4.00E-02
,,,-5.85E-04,0,,,,,-5.85E-04,-4.00E-02
,,,-5.84E-04,0,,,,,-5.84E-04,-4.00E-02
,,,-5.84E-04,0,,,,,-5.84E-04,0
,,,-5.84E-04,0,,,,,-5.84E-04,-4.00E-02
,,,-5.83E-04,2.00E-01,,,,,-5.83E-04,-4.00E-02
,,,-5.83E-04,2.00E-01,,,,,-5.83E-04,0
,,,-5.82E-04,0,,,,,-5.82E-04,0
,,,-5.82E-04,0,,,,,-5.82E-04,0
,,,-5.82E-04,0,,,,,-5.82E-04,-4.00E-02
,,,-5.81E-04,0,,,,,-5.81E-04,0
,,,-5.81E-04,0,,,,,-5.81E-04,0
,,,-5.80E-04,0,,,,,-5.80E-04,-4.00E-02
,,,-5.80E-04,2.00E-01,,,,,-5.80E-04,-4.00E-02
,,,-5.80E-04,0,,,,,-5.80E-04,-4.00E-02
,,,-5.79E-04,0,,,,,-5.79E-04,-4.00E-02
,,,-5.79E-04,-2.00E-01,,,,,-5.79E-04,0
,,,-5.78E-04,0,,,,,-5.78E-04,-4.00E-02
,,,-5.78E-04,2.00E-01,,,,,-5.78E-04,0
,,,-5.78E-04,-2.00E-01,,,,,-5.78E-04,4.00E-02
,,,-5.77E-04,2.00E-01,,,,,-5.77E-04,0
,,,-5.77E-04,0,,,,,-5.77E-04,-4.00E-02
,,,-5.76E-04,0,,,,,-5.76E-04,-8.00E-02
,,,-5.76E-04,0,,,,,-5.76E-04,0
,,,-5.76E-04,0,,,,,-5.76E-04,0
,,,-5.75E-04,0,,,,,-5.75E-04,0
,,,-5.75E-04,-2.00E-01,,,,,-5.75E-04,0
,,,-5.74E-04,0,,,,,-5.74E-04,0
,,,-5.74E-04,-2.00E-01,,,,,-5.74E-04,4.00E-02
,,,-5.74E-04,0,,,,,-5.74E-04,0
,,,-5.73E-04,-2.00E-01,,,,,-5.73E-04,0
,,,-5.73E-04,0,,,,,-5.73E-04,0
,,,-5.72E-04,0,,,,,-5.72E-04,0
,,,-5.72E-04,0,,,,,-5.72E-04,-4.00E-02
,,,-5.72E-04,0,,,,,-5.72E-04,0
,,,-5.71E-04,-2.00E-01,,,,,-5.71E-04,0
,,,-5.71E-04,0,,,,,-5.71E-04,-4.00E-02
,,,-5.70E-04,-2.00E-01,,,,,-5.70E-04,-4.00E-02
