"Time (s) Run #35","Angle, 004-000 (rad) Run #35","Angle, 670-231 (rad) Run #35"
11.600,0.119,-3.258
11.650,0.129,-3.277
11.700,0.138,-3.299
11.750,0.148,-3.318
11.800,0.154,-3.343
11.850,0.160,-3.368
11.900,0.167,-3.393
11.950,0.167,-3.418
12.000,0.170,-3.443
12.050,0.170,-3.471
12.100,0.167,-3.497
12.150,0.160,-3.522
12.200,0.154,-3.547
12.250,0.148,-3.569
12.300,0.138,-3.591
12.350,0.129,-3.610
12.400,0.119,-3.629
12.450,0.110,-3.644
12.500,0.101,-3.660
12.550,0.091,-3.673
12.600,0.082,-3.682
12.650,0.072,-3.691
12.700,0.063,-3.701
12.750,0.057,-3.707
12.800,0.053,-3.713
12.850,0.050,-3.717
12.900,0.047,-3.720
12.950,0.047,-3.723
13.000,0.047,-3.726
13.050,0.050,-3.729
13.100,0.057,-3.732
13.150,0.063,-3.738
13.200,0.069,-3.745
13.250,0.079,-3.751
13.300,0.088,-3.757
13.350,0.101,-3.767
13.400,0.113,-3.779
13.450,0.123,-3.792
13.500,0.135,-3.808
13.550,0.145,-3.823
13.600,0.157,-3.842
13.650,0.167,-3.864
13.700,0.176,-3.883
13.750,0.182,-3.908
13.800,0.192,-3.933
13.850,0.195,-3.958
13.900,0.198,-3.984
13.950,0.198,-4.009
14.000,0.198,-4.034
14.050,0.198,-4.059
14.100,0.192,-4.084
14.150,0.188,-4.109
14.200,0.179,-4.131
14.250,0.173,-4.153
14.300,0.163,-4.172
14.350,0.154,-4.191
14.400,0.145,-4.207
14.450,0.135,-4.219
14.500,0.126,-4.232
14.550,0.116,-4.244
14.600,0.107,-4.254
14.650,0.097,-4.260
14.700,0.091,-4.266
14.750,0.085,-4.273
14.800,0.082,-4.279
14.850,0.079,-4.282
14.900,0.079,-4.285
14.950,0.079,-4.285
15.000,0.082,-4.291
15.050,0.085,-4.295
15.100,0.091,-4.298
15.150,0.097,-4.304
15.200,0.107,-4.310
15.250,0.116,-4.317
15.300,0.126,-4.326
15.350,0.138,-4.335
15.400,0.148,-4.348
15.450,0.160,-4.364
15.500,0.170,-4.379
15.550,0.182,-4.395
15.600,0.192,-4.414
15.650,0.201,-4.436
15.700,0.207,-4.458
15.750,0.214,-4.480
15.800,0.220,-4.505
15.850,0.223,-4.530
15.900,0.223,-4.555
15.950,0.223,-4.580
16.000,0.223,-4.606
16.050,0.217,-4.631
16.100,0.214,-4.653
16.150,0.207,-4.675
16.200,0.201,-4.697
16.250,0.192,-4.719
16.300,0.179,-4.738
16.350,0.170,-4.753
16.400,0.160,-4.769
16.450,0.151,-4.782
16.500,0.141,-4.794
16.550,0.132,-4.803
16.600,0.126,-4.810
16.650,0.116,-4.819
16.700,0.110,-4.822
16.750,0.107,-4.829
