"Angle, 004-000 (rad) Run #27","Angle, 670-231 (rad) Run #27"
0.000,0.000
0.013,-0.019
0.025,-0.041
0.035,-0.063
0.044,-0.088
0.050,-0.116
0.057,-0.141
0.060,-0.170
0.063,-0.198
0.063,-0.226
0.057,-0.254
0.053,-0.280
0.044,-0.308
0.038,-0.333
0.028,-0.355
0.016,-0.377
0.003,-0.396
-0.009,-0.415
-0.022,-0.430
-0.035,-0.443
-0.047,-0.452
-0.060,-0.462
-0.069,-0.471
-0.079,-0.478
-0.088,-0.481
-0.094,-0.484
-0.097,-0.487
-0.101,-0.490
-0.101,-0.490
-0.097,-0.493
-0.094,-0.493
-0.088,-0.496
-0.082,-0.500
-0.072,-0.503
-0.060,-0.509
-0.050,-0.515
-0.035,-0.525
-0.022,-0.537
-0.009,-0.550
0.006,-0.565
0.019,-0.584
0.031,-0.603
0.044,-0.625
0.057,-0.650
0.063,-0.675
0.072,-0.701
0.079,-0.729
0.082,-0.757
0.082,-0.785
0.082,-0.814
0.082,-0.842
0.079,-0.870
0.069,-0.898
0.063,-0.924
0.053,-0.949
0.041,-0.971
0.031,-0.993
0.019,-1.012
0.006,-1.027
-0.006,-1.040
-0.019,-1.052
-0.028,-1.065
-0.041,-1.074
-0.050,-1.081
-0.057,-1.087
-0.063,-1.090
-0.066,-1.093
-0.069,-1.096
-0.072,-1.100
-0.069,-1.103
-0.066,-1.103
-0.060,-1.106
-0.053,-1.109
-0.047,-1.115
-0.035,-1.122
-0.025,-1.128
-0.013,-1.140
1.041E-17,-1.150
0.013,-1.162
0.028,-1.178
0.041,-1.197
0.053,-1.216
0.063,-1.238
0.075,-1.260
0.085,-1.288
0.091,-1.313
0.097,-1.341
0.101,-1.370
0.104,-1.398
0.104,-1.429
0.104,-1.458
0.097,-1.489
0.091,-1.517
0.085,-1.543
0.075,-1.568
0.066,-1.593
0.053,-1.612
0.044,-1.634
0.031,-1.649
0.019,-1.665
0.006,-1.681
-0.003,-1.690
-0.013,-1.700
-0.022,-1.709
-0.031,-1.715
-0.038,-1.722
-0.041,-1.725
-0.044,-1.728
-0.044,-1.731
-0.044,-1.734
-0.044,-1.737
-0.038,-1.740
-0.031,-1.744
-0.022,-1.750
-0.013,-1.756
-0.003,-1.762
0.006,-1.772
0.019,-1.784
0.035,-1.797
0.047,-1.813
0.057,-1.832
0.069,-1.850
0.082,-1.872
0.094,-1.894
0.101,-1.920
0.110,-1.945
0.116,-1.973
0.119,-2.001
0.123,-2.029
0.123,-2.061
0.123,-2.089
0.119,-2.114
0.113,-2.143
0.107,-2.171
0.097,-2.196
0.088,-2.218
0.079,-2.240
0.066,-2.259
0.057,-2.278
0.044,-2.293
0.031,-2.309
0.022,-2.318
0.013,-2.328
0.003,-2.337
-0.006,-2.347
-0.013,-2.350
-0.016,-2.356
-0.019,-2.359
-0.022,-2.362
-0.022,-2.366
-0.019,-2.369
-0.013,-2.372
-0.006,-2.375
8.674E-18,-2.381
0.009,-2.388
0.019,-2.397
0.031,-2.403
0.041,-2.416
0.053,-2.432
0.066,-2.447
0.079,-2.463
0.091,-2.482
0.104,-2.504
0.113,-2.526
0.123,-2.551
0.129,-2.576
0.135,-2.608
0.141,-2.636
0.141,-2.664
0.141,-2.692
0.141,-2.721
0.138,-2.749
0.132,-2.777
0.126,-2.805
0.119,-2.831
0.110,-2.853
0.101,-2.875
0.088,-2.897
0.075,-2.912
0.066,-2.928
0.053,-2.944
0.044,-2.956
0.035,-2.966
0.025,-2.975
0.019,-2.981
0.013,-2.988
0.006,-2.991
0.003,-2.997
0.003,-3.000
0.003,-3.003
0.003,-3.007
0.006,-3.010
0.013,-3.013
0.022,-3.019
0.031,-3.025
0.041,-3.035
0.050,-3.041
0.063,-3.054
0.075,-3.066
0.088,-3.082
0.101,-3.098
0.110,-3.116
0.123,-3.135
0.132,-3.157
0.141,-3.182
0.148,-3.208
0.154,-3.233
0.157,-3.261
0.160,-3.289
0.163,-3.318
0.160,-3.346
0.157,-3.371
0.154,-3.399
0.145,-3.424
0.138,-3.449
0.129,-3.471
0.119,-3.493
0.110,-3.512
0.097,-3.531
0.088,-3.547
0.075,-3.559
0.066,-3.572
0.057,-3.581
0.047,-3.591
0.041,-3.597
0.031,-3.603
0.028,-3.610
0.025,-3.613
0.025,-3.616
0.025,-3.619
0.025,-3.622
0.028,-3.629
0.035,-3.632
0.041,-3.638
0.050,-3.644
0.060,-3.651
0.069,-3.660
0.082,-3.669
0.094,-3.682
0.107,-3.698
0.119,-3.713
0.129,-3.732
0.141,-3.751
0.151,-3.773
0.160,-3.795
0.170,-3.820
0.176,-3.845
0.179,-3.874
0.182,-3.902
0.182,-3.930
0.182,-3.955
0.182,-3.984
0.176,-4.009
0.170,-4.034
0.163,-4.059
0.154,-4.081
0.148,-4.103
0.138,-4.122
0.126,-4.141
0.116,-4.156
0.104,-4.169
0.094,-4.181
0.085,-4.194
0.075,-4.200
0.069,-4.210
0.063,-4.216
0.060,-4.219
0.057,-4.225
0.053,-4.229
0.053,-4.232
0.057,-4.235
0.060,-4.238
0.066,-4.244
0.069,-4.247
0.079,-4.257
0.088,-4.263
