"Time (s) Run #22","Angle, 004-000 (rad) Run #22"
17.600,-0.273
17.650,-0.254
17.700,-0.239
17.750,-0.220
17.800,-0.204
17.850,-0.185
17.900,-0.170
17.950,-0.154
18.000,-0.141
18.050,-0.126
18.100,-0.116
18.150,-0.104
18.200,-0.097
18.250,-0.088
18.300,-0.085
18.350,-0.082
18.400,-0.079
18.450,-0.079
18.500,-0.082
18.550,-0.085
18.600,-0.091
18.650,-0.101
18.700,-0.110
18.750,-0.119
18.800,-0.132
18.850,-0.145
18.900,-0.157
18.950,-0.170
19.000,-0.185
19.050,-0.198
19.100,-0.214
19.150,-0.226
19.200,-0.239
19.250,-0.251
19.300,-0.261
19.350,-0.273
19.400,-0.283
19.450,-0.292
19.500,-0.295
19.550,-0.302
19.600,-0.305
19.650,-0.305
19.700,-0.308
19.750,-0.305
19.800,-0.298
19.850,-0.292
19.900,-0.286
19.950,-0.276
20.000,-0.267
20.050,-0.254
20.100,-0.242
20.150,-0.226
20.200,-0.214
20.250,-0.198
20.300,-0.182
20.350,-0.167
20.400,-0.151
20.450,-0.135
20.500,-0.119
20.550,-0.104
20.600,-0.091
20.650,-0.079
20.700,-0.066
20.750,-0.057
20.800,-0.047
20.850,-0.041
20.900,-0.035
20.950,-0.031
21.000,-0.031
21.050,-0.031
21.100,-0.031
21.150,-0.035
21.200,-0.041
21.250,-0.047
21.300,-0.057
21.350,-0.066
21.400,-0.075
21.450,-0.088
21.500,-0.101
21.550,-0.113
21.600,-0.126
21.650,-0.138
21.700,-0.154
21.750,-0.167
21.800,-0.179
21.850,-0.192
21.900,-0.201
21.950,-0.210
22.000,-0.220
22.050,-0.229
22.100,-0.236
22.150,-0.242
22.200,-0.245
22.250,-0.245
22.300,-0.248
22.350,-0.245
22.400,-0.242
22.450,-0.239
22.500,-0.232
22.550,-0.223
22.600,-0.217
22.650,-0.204
22.700,-0.195
22.750,-0.182
22.800,-0.170
22.850,-0.154
22.900,-0.141
22.950,-0.129
23.000,-0.113
23.050,-0.097
23.100,-0.085
23.150,-0.072
23.200,-0.060
23.250,-0.050
23.300,-0.038
23.350,-0.028
23.400,-0.022
23.450,-0.016
23.500,-0.013
23.550,-0.009
23.600,-0.006
23.650,-0.006
23.700,-0.009
23.750,-0.013
23.800,-0.016
23.850,-0.022
23.900,-0.031
23.950,-0.038
24.000,-0.047
24.050,-0.060
24.100,-0.072
24.150,-0.082
24.200,-0.094
24.250,-0.107
24.300,-0.119
24.350,-0.132
24.400,-0.145
24.450,-0.154
24.500,-0.163
24.550,-0.173
24.600,-0.182
24.650,-0.188
24.700,-0.195
24.750,-0.201
24.800,-0.204
24.850,-0.207
24.900,-0.207
24.950,-0.207
25.000,-0.204
25.050,-0.201
25.100,-0.195
25.150,-0.188
25.200,-0.182
25.250,-0.173
25.300,-0.163
25.350,-0.154
25.400,-0.141
25.450,-0.129
25.500,-0.119
25.550,-0.107
25.600,-0.094
25.650,-0.082
25.700,-0.072
25.750,-0.060
25.800,-0.050
25.850,-0.041
25.900,-0.031
25.950,-0.022
26.000,-0.019
26.050,-0.013
26.100,-0.009
26.150,-0.006
26.200,-0.006
26.250,-0.006
26.300,-0.006
26.350,-0.009
26.400,-0.016
26.450,-0.022
26.500,-0.028
26.550,-0.035
26.600,-0.044
26.650,-0.053
26.700,-0.063
26.750,-0.072
26.800,-0.085
26.850,-0.094
26.900,-0.107
26.950,-0.116
27.000,-0.129
27.050,-0.135
27.100,-0.145
27.150,-0.154
27.200,-0.160
27.250,-0.167
27.300,-0.173
27.350,-0.176
27.400,-0.179
27.450,-0.179
27.500,-0.179
27.550,-0.179
27.600,-0.176
27.650,-0.173
27.700,-0.167
27.750,-0.160
27.800,-0.154
27.850,-0.145
27.900,-0.135
27.950,-0.126
28.000,-0.116
28.050,-0.104
28.100,-0.094
28.150,-0.082
28.200,-0.072
28.250,-0.060
28.300,-0.050
28.350,-0.041
28.400,-0.031
28.450,-0.022
28.500,-0.016
28.550,-0.006
28.600,1.327E-16
28.650,0.003
28.700,0.006
28.750,0.009
28.800,0.009
28.850,0.009
28.900,0.006
28.950,0.003
29.000,1.327E-16
29.050,-0.006
29.100,-0.013
29.150,-0.019
29.200,-0.028
29.250,-0.035
29.300,-0.044
29.350,-0.053
29.400,-0.063
29.450,-0.072
29.500,-0.082
29.550,-0.091
29.600,-0.101
29.650,-0.110
29.700,-0.116
29.750,-0.123
29.800,-0.129
29.850,-0.132
29.900,-0.138
29.950,-0.141
30.000,-0.141
30.050,-0.141
30.100,-0.141
30.150,-0.138
30.200,-0.135
30.250,-0.132
30.300,-0.126
30.350,-0.119
30.400,-0.110
30.450,-0.101
30.500,-0.094
30.550,-0.085
30.600,-0.072
30.650,-0.063
30.700,-0.053
30.750,-0.041
30.800,-0.031
30.850,-0.022
30.900,-0.013
30.950,-0.003
31.000,0.006
31.050,0.013
31.100,0.019
31.150,0.025
31.200,0.031
31.250,0.035
31.300,0.038
31.350,0.041
31.400,0.041
31.450,0.041
31.500,0.038
31.550,0.035
31.600,0.031
31.650,0.028
31.700,0.022
31.750,0.016
