"Time (s) Run #16","Angle, 670-231 (rad) Run #16"
0.000,0.000
0.050,0.000
0.100,0.000
0.150,0.003
0.200,0.006
0.250,0.006
0.300,0.009
0.350,0.009
0.400,0.009
0.450,0.006
0.500,-8.674E-19
0.550,-0.006
0.600,-0.019
0.650,-0.028
0.700,-0.044
0.750,-0.060
0.800,-0.082
0.850,-0.104
0.900,-0.129
0.950,-0.154
1.000,-0.185
1.050,-0.217
1.100,-0.251
1.150,-0.286
1.200,-0.324
1.250,-0.361
1.300,-0.399
1.350,-0.437
1.400,-0.478
1.450,-0.515
1.500,-0.553
1.550,-0.587
1.600,-0.622
1.650,-0.657
1.700,-0.685
1.750,-0.713
1.800,-0.738
1.850,-0.760
1.900,-0.782
1.950,-0.801
2.000,-0.817
2.050,-0.829
2.100,-0.839
2.150,-0.848
2.200,-0.851
2.250,-0.858
2.300,-0.861
2.350,-0.861
2.400,-0.861
2.450,-0.861
2.500,-0.861
2.550,-0.858
2.600,-0.858
2.650,-0.858
2.700,-0.858
2.750,-0.858
2.800,-0.858
2.850,-0.861
2.900,-0.867
2.950,-0.873
3.000,-0.883
3.050,-0.895
3.100,-0.908
3.150,-0.927
3.200,-0.946
3.250,-0.968
3.300,-0.990
3.350,-1.018
3.400,-1.046
3.450,-1.078
3.500,-1.112
3.550,-1.147
3.600,-1.184
3.650,-1.222
3.700,-1.263
3.750,-1.304
3.800,-1.341
3.850,-1.382
3.900,-1.420
3.950,-1.458
4.000,-1.492
4.050,-1.527
4.100,-1.561
4.150,-1.590
4.200,-1.615
4.250,-1.640
4.300,-1.662
4.350,-1.681
4.400,-1.700
4.450,-1.712
4.500,-1.722
4.550,-1.731
4.600,-1.740
4.650,-1.747
4.700,-1.750
4.750,-1.750
4.800,-1.753
4.850,-1.753
4.900,-1.753
4.950,-1.753
5.000,-1.753
5.050,-1.753
5.100,-1.753
5.150,-1.753
5.200,-1.756
5.250,-1.762
5.300,-1.769
5.350,-1.775
5.400,-1.788
5.450,-1.800
5.500,-1.816
5.550,-1.832
5.600,-1.854
5.650,-1.876
5.700,-1.901
5.750,-1.929
5.800,-1.960
5.850,-1.995
5.900,-2.029
5.950,-2.067
6.000,-2.105
6.050,-2.146
6.100,-2.187
6.150,-2.227
6.200,-2.268
6.250,-2.306
6.300,-2.347
6.350,-2.384
6.400,-2.419
6.450,-2.454
6.500,-2.482
6.550,-2.510
