Description										
Number of Runs	750									
Preset Time	1									
Pause Time	0									
Alarm Level	0									
High Voltage	900									
Step Voltage	0									
Volume	0									
										
Run	High		Elapsed			Mean	N	Frequency	Poisson Dist.	Gaussian Dist.
Number	Voltage	Counts	Time	Date/Time		13.97333333	3	1	0.058250346	0.382037549
677	900	15	1	4/9/25 15:05						
678	900	14	1	4/9/25 15:05						
679	900	16	1	4/9/25 15:05						
680	900	15	1	4/9/25 15:05						
681	900	14	1	4/9/25 15:05						
682	900	26	1	4/9/25 15:05						
683	900	11	1	4/9/25 15:05						
684	900	10	1	4/9/25 15:05						
685	900	9	1	4/9/25 15:05						
686	900	17	1	4/9/25 15:05						
687	900	18	1	4/9/25 15:05						
688	900	18	1	4/9/25 15:05						
689	900	7	1	4/9/25 15:05						
690	900	16	1	4/9/25 15:05						
691	900	14	1	4/9/25 15:05						
692	900	17	1	4/9/25 15:05						
693	900	17	1	4/9/25 15:05						
694	900	16	1	4/9/25 15:05						
695	900	15	1	4/9/25 15:05						
696	900	12	1	4/9/25 15:05						
697	900	12	1	4/9/25 15:05						
698	900	16	1	4/9/25 15:05						
699	900	17	1	4/9/25 15:06						
700	900	8	1	4/9/25 15:06						
701	900	12	1	4/9/25 15:06						
702	900	12	1	4/9/25 15:06						
703	900	11	1	4/9/25 15:06						
704	900	19	1	4/9/25 15:06						
705	900	14	1	4/9/25 15:06						
706	900	23	1	4/9/25 15:06						
707	900	16	1	4/9/25 15:06						
708	900	14	1	4/9/25 15:06						
709	900	18	1	4/9/25 15:06						
710	900	10	1	4/9/25 15:06						
711	900	20	1	4/9/25 15:06						
712	900	20	1	4/9/25 15:06						
713	900	12	1	4/9/25 15:06						
714	900	17	1	4/9/25 15:06						
715	900	14	1	4/9/25 15:06						
716	900	12	1	4/9/25 15:06						
717	900	16	1	4/9/25 15:06						
718	900	18	1	4/9/25 15:06						
719	900	16	1	4/9/25 15:06						
720	900	9	1	4/9/25 15:06						
721	900	15	1	4/9/25 15:06						
722	900	10	1	4/9/25 15:06						
723	900	11	1	4/9/25 15:06						
724	900	17	1	4/9/25 15:06						
725	900	17	1	4/9/25 15:06						
726	900	11	1	4/9/25 15:06						
727	900	15	1	4/9/25 15:06						
728	900	13	1	4/9/25 15:06						
729	900	14	1	4/9/25 15:06						
730	900	17	1	4/9/25 15:06						
731	900	13	1	4/9/25 15:06						
732	900	22	1	4/9/25 15:06						
733	900	18	1	4/9/25 15:06						
734	900	16	1	4/9/25 15:06						
735	900	13	1	4/9/25 15:06						
736	900	14	1	4/9/25 15:06						
737	900	10	1	4/9/25 15:06						
738	900	18	1	4/9/25 15:06						
739	900	19	1	4/9/25 15:06						
740	900	16	1	4/9/25 15:06						
741	900	17	1	4/9/25 15:06						
742	900	20	1	4/9/25 15:06						
743	900	19	1	4/9/25 15:06						
744	900	18	1	4/9/25 15:06						
745	900	15	1	4/9/25 15:06						
746	900	11	1	4/9/25 15:06						
747	900	16	1	4/9/25 15:06						
748	900	11	1	4/9/25 15:06						
749	900	17	1	4/9/25 15:06						
750	900	18	1	4/9/25 15:06						
