Description										
Number of Runs	750									
Preset Time	1									
Pause Time	0									
Alarm Level	0									
High Voltage	900									
Step Voltage	0									
Volume	0									
										
Run	High		Elapsed			Mean	N	Frequency	Poisson Dist.	Gaussian Dist.
Number	Voltage	Counts	Time	Date/Time		13.97333333	3	1	0.058250346	0.382037549
141	900	10	1	4/9/25 14:55						
142	900	22	1	4/9/25 14:55						
143	900	16	1	4/9/25 14:55						
144	900	16	1	4/9/25 14:55						
145	900	11	1	4/9/25 14:55						
146	900	11	1	4/9/25 14:55						
147	900	8	1	4/9/25 14:55						
148	900	19	1	4/9/25 14:55						
149	900	12	1	4/9/25 14:55						
150	900	17	1	4/9/25 14:55						
151	900	13	1	4/9/25 14:55						
152	900	11	1	4/9/25 14:55						
153	900	14	1	4/9/25 14:55						
154	900	7	1	4/9/25 14:55						
155	900	14	1	4/9/25 14:55						
156	900	12	1	4/9/25 14:55						
157	900	12	1	4/9/25 14:55						
158	900	12	1	4/9/25 14:55						
159	900	17	1	4/9/25 14:55						
160	900	10	1	4/9/25 14:55						
161	900	10	1	4/9/25 14:55						
162	900	5	1	4/9/25 14:55						
163	900	13	1	4/9/25 14:55						
164	900	11	1	4/9/25 14:55						
165	900	9	1	4/9/25 14:55						
166	900	16	1	4/9/25 14:55						
167	900	15	1	4/9/25 14:55						
168	900	15	1	4/9/25 14:55						
169	900	14	1	4/9/25 14:55						
170	900	15	1	4/9/25 14:55						
171	900	7	1	4/9/25 14:55						
172	900	20	1	4/9/25 14:55						
173	900	10	1	4/9/25 14:55						
174	900	12	1	4/9/25 14:55						
175	900	13	1	4/9/25 14:55						
176	900	16	1	4/9/25 14:55						
177	900	14	1	4/9/25 14:55						
178	900	16	1	4/9/25 14:55						
179	900	15	1	4/9/25 14:55						
180	900	15	1	4/9/25 14:56						
181	900	19	1	4/9/25 14:56						
182	900	12	1	4/9/25 14:56						
183	900	14	1	4/9/25 14:56						
184	900	18	1	4/9/25 14:56						
185	900	16	1	4/9/25 14:56						
186	900	9	1	4/9/25 14:56						
187	900	12	1	4/9/25 14:56						
188	900	14	1	4/9/25 14:56						
189	900	18	1	4/9/25 14:56						
190	900	13	1	4/9/25 14:56						
191	900	5	1	4/9/25 14:56						
192	900	16	1	4/9/25 14:56						
193	900	11	1	4/9/25 14:56						
194	900	12	1	4/9/25 14:56						
195	900	15	1	4/9/25 14:56						
196	900	19	1	4/9/25 14:56						
197	900	11	1	4/9/25 14:56						
198	900	13	1	4/9/25 14:56						
199	900	14	1	4/9/25 14:56						
200	900	14	1	4/9/25 14:56						
201	900	13	1	4/9/25 14:56						
202	900	11	1	4/9/25 14:56						
203	900	14	1	4/9/25 14:56						
204	900	22	1	4/9/25 14:56						
205	900	13	1	4/9/25 14:56						
206	900	10	1	4/9/25 14:56						
207	900	14	1	4/9/25 14:56						
208	900	21	1	4/9/25 14:56						
209	900	14	1	4/9/25 14:56						
210	900	18	1	4/9/25 14:56						
211	900	20	1	4/9/25 14:56						
212	900	15	1	4/9/25 14:56						
213	900	12	1	4/9/25 14:56						
214	900	9	1	4/9/25 14:56						
215	900	20	1	4/9/25 14:56						
216	900	13	1	4/9/25 14:56						
217	900	19	1	4/9/25 14:56						
218	900	15	1	4/9/25 14:56						
219	900	18	1	4/9/25 14:56						
220	900	13	1	4/9/25 14:56						
221	900	13	1	4/9/25 14:56						
222	900	19	1	4/9/25 14:56						
223	900	23	1	4/9/25 14:56						
224	900	17	1	4/9/25 14:56						
225	900	15	1	4/9/25 14:56						
226	900	21	1	4/9/25 14:56						
227	900	15	1	4/9/25 14:56						
228	900	21	1	4/9/25 14:56						
229	900	12	1	4/9/25 14:56						
230	900	18	1	4/9/25 14:56						
231	900	9	1	4/9/25 14:56						
232	900	13	1	4/9/25 14:57						
233	900	13	1	4/9/25 14:57						
234	900	14	1	4/9/25 14:57						
235	900	15	1	4/9/25 14:57						
236	900	14	1	4/9/25 14:57						
237	900	17	1	4/9/25 14:57						
238	900	13	1	4/9/25 14:57						
239	900	8	1	4/9/25 14:57						
240	900	16	1	4/9/25 14:57						
241	900	19	1	4/9/25 14:57						
242	900	17	1	4/9/25 14:57						
243	900	15	1	4/9/25 14:57						
244	900	15	1	4/9/25 14:57						
245	900	15	1	4/9/25 14:57						
246	900	16	1	4/9/25 14:57						
247	900	12	1	4/9/25 14:57						
248	900	17	1	4/9/25 14:57						
249	900	21	1	4/9/25 14:57						
250	900	14	1	4/9/25 14:57						
251	900	13	1	4/9/25 14:57						
252	900	11	1	4/9/25 14:57						
253	900	15	1	4/9/25 14:57						
254	900	13	1	4/9/25 14:57						
255	900	14	1	4/9/25 14:57						
256	900	12	1	4/9/25 14:57						
257	900	6	1	4/9/25 14:57						
258	900	17	1	4/9/25 14:57						
259	900	18	1	4/9/25 14:57						
260	900	10	1	4/9/25 14:57						
261	900	8	1	4/9/25 14:57						
262	900	16	1	4/9/25 14:57						
263	900	13	1	4/9/25 14:57						
264	900	20	1	4/9/25 14:57						
265	900	17	1	4/9/25 14:57						
266	900	16	1	4/9/25 14:57						
267	900	14	1	4/9/25 14:57						
268	900	9	1	4/9/25 14:57						
269	900	16	1	4/9/25 14:57						
270	900	17	1	4/9/25 14:57						
271	900	15	1	4/9/25 14:57						
272	900	19	1	4/9/25 14:57						
273	900	17	1	4/9/25 14:57						
274	900	12	1	4/9/25 14:57						
275	900	15	1	4/9/25 14:57						
276	900	19	1	4/9/25 14:57						
277	900	15	1	4/9/25 14:57						
278	900	18	1	4/9/25 14:57						
279	900	19	1	4/9/25 14:57						
280	900	13	1	4/9/25 14:57						
281	900	17	1	4/9/25 14:57						
282	900	9	1	4/9/25 14:57						
283	900	14	1	4/9/25 14:57						
284	900	9	1	4/9/25 14:58						
285	900	17	1	4/9/25 14:58						
286	900	12	1	4/9/25 14:58						
287	900	12	1	4/9/25 14:58						
288	900	18	1	4/9/25 14:58						
289	900	13	1	4/9/25 14:58						
290	900	12	1	4/9/25 14:58						
291	900	9	1	4/9/25 14:58						
292	900	12	1	4/9/25 14:58						
293	900	12	1	4/9/25 14:58						
294	900	9	1	4/9/25 14:58						
295	900	11	1	4/9/25 14:58						
296	900	17	1	4/9/25 14:58						
297	900	11	1	4/9/25 14:58						
298	900	16	1	4/9/25 14:58						
299	900	20	1	4/9/25 14:58						
300	900	17	1	4/9/25 14:58						
301	900	19	1	4/9/25 14:58						
302	900	14	1	4/9/25 14:58						
303	900	19	1	4/9/25 14:58						
304	900	12	1	4/9/25 14:58						
305	900	17	1	4/9/25 14:58						
306	900	9	1	4/9/25 14:58						
307	900	8	1	4/9/25 14:58						
308	900	17	1	4/9/25 14:58						
309	900	29	1	4/9/25 14:58						
310	900	13	1	4/9/25 14:58						
311	900	17	1	4/9/25 14:58						
312	900	19	1	4/9/25 14:58						
313	900	10	1	4/9/25 14:58						
314	900	17	1	4/9/25 14:58						
315	900	13	1	4/9/25 14:58						
316	900	17	1	4/9/25 14:58						
317	900	12	1	4/9/25 14:58						
318	900	13	1	4/9/25 14:58						
319	900	12	1	4/9/25 14:58						
320	900	10	1	4/9/25 14:58						
321	900	13	1	4/9/25 14:58						
322	900	15	1	4/9/25 14:58						
323	900	14	1	4/9/25 14:58						
324	900	20	1	4/9/25 14:58						
325	900	18	1	4/9/25 14:58						
326	900	17	1	4/9/25 14:58						
327	900	15	1	4/9/25 14:58						
328	900	11	1	4/9/25 14:58						
329	900	9	1	4/9/25 14:58						
330	900	16	1	4/9/25 14:58						
331	900	11	1	4/9/25 14:58						
332	900	7	1	4/9/25 14:58						
333	900	11	1	4/9/25 14:58						
334	900	20	1	4/9/25 14:58						
335	900	12	1	4/9/25 14:58						
336	900	13	1	4/9/25 14:59						
337	900	12	1	4/9/25 14:59						
338	900	7	1	4/9/25 14:59						
339	900	13	1	4/9/25 14:59						
340	900	14	1	4/9/25 14:59						
341	900	18	1	4/9/25 14:59						
342	900	16	1	4/9/25 14:59						
343	900	15	1	4/9/25 14:59						
344	900	17	1	4/9/25 14:59						
345	900	14	1	4/9/25 14:59						
346	900	13	1	4/9/25 14:59						
347	900	11	1	4/9/25 14:59						
348	900	16	1	4/9/25 14:59						
349	900	21	1	4/9/25 14:59						
350	900	16	1	4/9/25 14:59						
351	900	12	1	4/9/25 14:59						
352	900	18	1	4/9/25 14:59						
353	900	12	1	4/9/25 14:59						
354	900	20	1	4/9/25 14:59						
