Description	
Number of Runs	150
Preset Time	5
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
130	900	1	5	04/09/25 02:39:00 PM	
131	900	3	5	04/09/25 02:39:05 PM	
132	900	3	5	04/09/25 02:39:10 PM	
133	900	6	5	04/09/25 02:39:16 PM	
134	900	3	5	04/09/25 02:39:21 PM	
135	900	3	5	04/09/25 02:39:26 PM	
136	900	3	5	04/09/25 02:39:31 PM	
137	900	3	5	04/09/25 02:39:37 PM	
138	900	8	5	04/09/25 02:39:42 PM	
139	900	5	5	04/09/25 02:39:47 PM	
140	900	6	5	04/09/25 02:39:52 PM	
141	900	5	5	04/09/25 02:39:57 PM	
142	900	2	5	04/09/25 02:40:03 PM	
143	900	2	5	04/09/25 02:40:08 PM	
144	900	1	5	04/09/25 02:40:13 PM	
145	900	1	5	04/09/25 02:40:18 PM	
146	900	3	5	04/09/25 02:40:23 PM	
147	900	3	5	04/09/25 02:40:28 PM	
148	900	5	5	04/09/25 02:40:34 PM	
149	900	2	5	04/09/25 02:40:39 PM	
150	900	4	5	04/09/25 02:40:44 PM	
